episode,target,ai_starts,update_idx,turn,policy_loss,value_loss,entropy,loss
0,always_split,1,4,5,-0.07931284792721272,0.030297533667180687,1.3653589934110641,-0.07781767845153809
1,always_steal,0,4,5,-0.08510604873299599,0.08396634501696099,1.3335305005311966,-0.05645818077027798
2,deceptive_threaten,1,4,5,-0.1298257689923048,0.009850938648014562,1.2647943533957005,-0.13754823803901672
3,honest,0,4,5,-0.01089680939912796,0.434069548806292,1.1781045347452164,0.19435691833496094
4,tit_for_tat,1,4,5,-0.00836595892906189,0.5934021638677223,1.1891961134970188,0.2764431592077017
5,always_split,0,4,5,0.007896356284618378,0.17895213948213495,1.2511285692453384,0.08486113883554935
6,always_steal,1,4,5,0.010165033861994743,0.152226441710809,1.1930842399597168,0.07434741035103798
7,deceptive_threaten,0,4,5,-0.012149438727647066,0.010125004009751137,1.199477169662714,-0.019081707578152418
8,honest,1,4,5,-0.043796587735414505,0.050850883942359815,1.1550271026790142,-0.02992142364382744
9,tit_for_tat,0,4,5,-0.10393810388632119,0.10984500365157146,1.0473532117903233,-0.05948914895998314
10,always_split,1,4,5,-0.06368431076407433,0.35863651694671717,0.8947146460413933,0.10668681422248483
11,always_steal,0,4,5,-0.06303928326815367,0.7949419370852411,0.6943415496498346,0.3274882677360438
12,deceptive_threaten,1,4,5,0.042586976662278175,0.05539215993212565,0.5608954411000013,0.0646741185337305
13,honest,0,4,5,-0.012400632724165916,0.27727478657470783,0.6617189832031727,0.1196195837110281
14,tit_for_tat,1,4,5,-0.028875593096017838,0.7386886419262737,0.8371815178543329,0.3320969082415104
15,always_split,0,4,5,-0.06692493706941605,0.4773458642885089,0.8901276681572199,0.16284673288464546
16,always_steal,1,4,5,-0.03492347151041031,0.3677508677355945,0.8483896870166063,0.1404680535197258
17,deceptive_threaten,0,4,5,-0.03680095076560974,0.04056030937852384,0.8085385970771313,-0.024606192484498024
18,honest,1,4,5,0.004646778805181384,0.45198192191310227,0.7596441172063351,0.22304127924144268
19,tit_for_tat,0,4,5,0.004054352641105652,0.5794827193021774,0.7390753049403429,0.2864049761556089
20,always_split,1,4,5,-0.007166134659200907,0.19256171898450702,0.7292362041771412,0.08182236837456003
21,always_steal,0,4,5,-0.04048932052683085,0.666206756606698,0.7392989471554756,0.28522105887532234
22,deceptive_threaten,1,4,5,-0.09177600592374802,0.07084553300708762,0.8542988952249289,-0.06489623710513115
23,honest,0,4,5,0.02100565657019615,0.16547267115674913,0.9022765308618546,0.09471923112869263
24,tit_for_tat,1,4,5,-0.08605299517512321,0.06236454864847474,0.846866887062788,-0.06333937868475914
25,always_split,0,4,5,0.006860069930553436,0.6716718338429928,0.7761112824082375,0.3349348707124591
26,always_steal,1,4,5,-0.0462392121553421,0.18031814647838473,0.7198290564119816,0.03672158159315586
27,deceptive_threaten,0,4,5,-0.05010588467121124,0.016701416619866905,0.5519516579806805,-0.047274691984057426
28,honest,1,4,5,0.014102336019277573,0.46289593866094947,0.3981453012675047,0.24156884849071503
29,tit_for_tat,0,4,5,-0.041082875803112984,0.4729410372674465,0.3529094196856022,0.1918585365638137
30,always_split,1,4,5,0.0006503183394670486,0.2155457278713584,0.3204179126769304,0.10521899349987507
31,always_steal,0,4,5,0.00048229098320007324,0.5106378775089979,0.3096395619213581,0.2527048299089074
32,deceptive_threaten,1,4,5,-0.05694195069372654,0.06989062839579674,0.27095848321914673,-0.024706212803721428
33,honest,0,4,5,-0.00011257641017436981,0.7515839748084545,0.2436383180320263,0.37324304785579443
34,tit_for_tat,1,4,5,3.750994801521301e-05,0.19395093014463782,0.23887033853679895,0.09462426416575909
35,always_split,0,4,5,-0.004205023869872093,0.4283296102657914,0.2328443629667163,0.20763135165907443
36,always_steal,1,4,5,-0.019687168300151825,0.28965151868760586,0.22236916329711676,0.12291489914059639
37,deceptive_threaten,0,4,5,0.0031276848167181015,0.04153470704477513,0.1869420688599348,0.022025631740689278
38,honest,1,4,5,0.006665388122200966,0.7173759080469608,0.18193169543519616,0.3635340321343392
39,tit_for_tat,0,4,5,-0.0014489106833934784,0.16448030446190387,0.18499311339110136,0.07894131913781166
40,always_split,1,4,5,-0.006681676954030991,0.43930198065936565,0.19085718970745802,0.21106074377894402
41,always_steal,0,4,5,-0.011828649789094925,0.21891577681526542,0.20787687180563807,0.09555047377943993
42,deceptive_threaten,1,4,5,-0.019535833969712257,0.024191294365664362,0.22447458561509848,-0.009684927761554718
43,honest,0,4,5,0.025333046913146973,0.13965552297304384,0.23585878126323223,0.09280221350491047
44,tit_for_tat,1,4,5,-0.00198429636657238,0.1346414708532393,0.23209364200010896,0.06301549077033997
45,always_split,0,4,5,-0.027396656572818756,0.46411921735852957,0.23219603206962347,0.20234099449589849
46,always_steal,1,4,5,-0.0003214199095964432,0.20758158201351762,0.22733634430915117,0.10119600966572762
47,deceptive_threaten,0,4,5,0.005173608660697937,0.02550521992452559,0.22899919468909502,0.015636220574378967
48,honest,1,4,5,0.014184347353875637,0.6334062144160271,0.2219376415014267,0.32866807095706463
49,tit_for_tat,0,4,5,-0.03440591134130955,0.14567548595368862,0.22326189186424017,0.03619921766221523
50,always_split,1,4,5,0.002155117690563202,0.48335207253694534,0.2209631814621389,0.24162150919437408
51,always_steal,0,4,5,-0.03199145384132862,0.16131238627713174,0.22038414608687162,0.046460893005132675
52,deceptive_threaten,1,4,5,-0.03727516531944275,0.02233831107514561,0.21141317090950906,-0.02822013571858406
53,honest,0,4,5,0.008039623498916626,0.14275311620440334,0.19353090762160718,0.07748085632920265
54,tit_for_tat,1,4,5,-0.02879657968878746,0.12977037439122796,0.20373885170556605,0.03405121527612209
