episode,target,ai_starts,update_idx,turn,policy_loss,value_loss,entropy,loss
0,always_split,1,4,5,-0.07998276688158512,0.031171069960691966,1.3617509305477142,-0.07801475003361702
1,always_steal,0,4,5,-0.08666514046490192,0.08268448410672136,1.3217314332723618,-0.058540213853120804
2,deceptive_threaten,1,4,5,-0.12962979450821877,0.009395753183298439,1.2451581358909607,-0.1373834889382124
3,honest,0,4,5,-0.01028447225689888,0.428194379521301,1.1728690899908543,0.19208403397351503
4,tit_for_tat,1,4,5,0.0025485577061772346,0.693390057364013,1.1919547505676746,0.3373240325599909
5,always_split,0,4,5,0.0023971647024154663,0.19070557202212512,1.256885103881359,0.08518107980489731
6,always_steal,1,4,5,0.008676676079630852,0.13829944402141336,1.2045375369489193,0.0657810177654028
7,deceptive_threaten,0,4,5,-0.011392304208129644,0.010375071725320595,1.2094480954110622,-0.018299248069524765
8,honest,1,4,5,-0.043306294828653336,0.052050286647272515,1.1697067134082317,-0.028978226706385612
9,tit_for_tat,0,4,5,-0.10351885063573718,0.11190689037903212,1.0486771073192358,-0.05805218545719981
10,always_split,1,4,5,0.011409517377614975,0.37036756463749043,0.9216799922287464,0.18737651128321886
11,always_steal,0,4,5,-0.05329165235161781,0.7447570858057588,0.8158466033637524,0.3109284108504653
12,deceptive_threaten,1,4,5,0.03386242687702179,0.055011048635037696,0.7224622629582882,0.05414334870874882
13,honest,0,4,5,-0.059564221650362015,0.2657496336269105,0.7854291647672653,0.0654563158750534
14,tit_for_tat,1,4,5,-0.02831725962460041,0.630135000217706,0.8845407292246819,0.27790484484285116
15,always_split,0,4,5,-0.05741756968200207,0.5544467903673649,0.9339131340384483,0.21046669967472553
16,always_steal,1,4,5,-0.03977273590862751,0.3190632085315883,0.8698574677109718,0.11106030829250813
17,deceptive_threaten,0,4,5,-0.03585437498986721,0.03517433758133848,0.7966639045625925,-0.026233864948153496
18,honest,1,4,5,-0.024013038724660873,0.4242749356490094,0.7148526944220066,0.1809758972376585
19,tit_for_tat,0,4,5,0.0028068944811820984,0.7434909660369158,0.6617642715573311,0.3679347261786461
20,always_split,1,4,5,-0.006472393870353699,0.13667445513419807,0.6818077601492405,0.05504675582051277
21,always_steal,0,4,5,-0.06238423311151564,0.6664163004606962,0.754748797044158,0.26327642728574574
22,deceptive_threaten,1,4,5,-0.09768344461917877,0.05491054042661858,0.881013385951519,-0.07903830148279667
23,honest,0,4,5,0.027550488710403442,0.12357478815829381,0.9229452237486839,0.08010843396186829
24,tit_for_tat,1,4,5,-0.08721829205751419,0.09146697208052501,0.8785425759851933,-0.05027022212743759
25,always_split,0,4,5,0.008045006543397903,0.6798143982887268,0.8047216907143593,0.33990498166531324
26,always_steal,1,4,5,-0.04872585088014603,0.1580297308973968,0.7462042644619942,0.02282695844769478
27,deceptive_threaten,0,4,5,-0.10852287150919437,0.016501115355595175,0.5647007413208485,-0.10591931641101837
28,honest,1,4,5,-0.013206958770751953,0.4569756758864969,0.3832859396934509,0.2114480324089527
29,tit_for_tat,0,4,5,-0.04501947574317455,0.5373985134065151,0.33238037675619125,0.22035598289221525
30,always_split,1,4,5,-0.000783069059252739,0.17122477141674608,0.30309744738042355,0.08179833553731441
31,always_steal,0,4,5,-0.00258013978600502,0.6047715153545141,0.2822119677439332,0.29698349023237824
32,deceptive_threaten,1,4,5,-0.05709150433540344,0.09481600310755312,0.249756189994514,-0.012181058526039124
33,honest,0,4,5,0.000886920839548111,0.7894500661641359,0.22473668958991766,0.39336456707678735
34,tit_for_tat,1,4,5,-0.00045279599726200104,0.16420859098434448,0.21905047725886106,0.07946099899709225
