episode,target,ai_starts,ai_payout,score,both_steal,ai_action,target_action,policy_loss,value_loss,entropy,loss
0,always_split,1,50.0,0.5,0,SPLIT,SPLIT,-0.07127512246370316,0.020481806548332315,1.3497931621968746,-0.07453214004635811
1,always_steal,0,0.0,0.0,0,SPLIT,STEAL,-0.0355012733489275,0.03900769956089789,1.3138647563755512,-0.02913607284426689
2,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.10100214555859566,0.0017905835186411423,1.3059547245502472,-0.11316640116274357
3,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.11239931173622608,0.3062160834451788,1.2090915776789188,0.028617819771170616
4,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,-0.06214573234319687,0.007126258104278804,1.116287425160408,-0.06974547915160656
5,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.0336893443018198,0.14310270843725448,1.1102186106145382,0.02675982378423214
6,always_steal,1,0.0,0.0,1,STEAL,STEAL,-0.05818263068795204,0.010686002182467291,1.0231603421270847,-0.0630712378770113
7,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.007977353408932686,0.004017486287580141,1.0444959811866283,-0.016413575038313866
8,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.06088455021381378,0.07227583958376727,1.0319906063377857,-0.035066526383161545
9,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.03959614969789982,0.0017456049274642282,0.7764334045350552,-0.04648769088089466
10,always_split,1,50.0,0.5,0,SPLIT,SPLIT,-0.056418078020215034,0.0017149287770621413,0.643633246421814,-0.06199694983661175
11,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.011989813297986984,0.06469250434884088,0.5061615668237209,0.01529482938349247
12,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.013329159934073687,0.004905894143121259,0.43999921903014183,-0.015276208519935608
13,honest,0,100.0,1.0,0,STEAL,SPLIT,0.023603186011314392,0.3520506980985374,0.47200136072933674,0.19490853790193796
14,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.09333042800426483,0.23353546054022445,0.545225266367197,0.017985042184591293
15,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.02691436861641705,0.2446584596128787,0.5957501567900181,0.08945735427550972
16,always_steal,1,0.0,0.0,0,SPLIT,STEAL,-0.03897512145340443,0.7928248539101332,0.7034974079579115,0.3504023242276162
17,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.0654474776238203,0.038315332026274795,0.5756507050246,-0.052046312019228935
18,honest,1,100.0,1.0,0,STEAL,SPLIT,0.018877528607845306,0.2612732027664606,0.41949453949928284,0.14531919860746711
19,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.02496996521949768,0.01782837448627106,0.38603715039789677,-0.01991615816950798
20,always_split,1,50.0,0.5,0,SPLIT,SPLIT,-0.007070241495966911,0.055224366790753265,0.2955268668010831,0.01758667640388012
21,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.000452263280749321,0.05750223218103656,0.2512737847864628,0.02578612230718136
22,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.01890297420322895,0.003985290870891944,0.2701577711850405,-0.019611915573477745
23,honest,0,50.0,0.5,0,SPLIT,SPLIT,0.01959352195262909,0.09678505410283833,0.268438215367496,0.06530167069286108
24,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,-0.00844903290271759,0.041356193895808246,0.24950687028467655,0.00973399356007576
25,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.028691820800304413,0.0039058976398109735,0.25174609012901783,-0.029256338253617287
26,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.015066903084516525,0.5505678886547685,0.2501409794203937,0.28784944547805935
27,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.040361158549785614,0.023336752710747533,0.24275101302191615,-0.031120290979743004
